Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;05103 Hoyorredondo;5 o más personas;0
Total Nacional;05104 Hoyos del Collado;Total (tamaño del hogar);14
Total Nacional;05104 Hoyos del Collado;1 persona;4
Total Nacional;05104 Hoyos del Collado;2 personas;5
Total Nacional;05104 Hoyos del Collado;3 personas;2
Total Nacional;05104 Hoyos del Collado;4 personas;3
Total Nacional;05104 Hoyos del Collado;5 o más personas;0
Total Nacional;05105 Hoyos del Espino;Total (tamaño del hogar);165
Total Nacional;05105 Hoyos del Espino;1 persona;67
Total Nacional;05105 Hoyos del Espino;2 personas;37
Total Nacional;05105 Hoyos del Espino;3 personas;28
Total Nacional;05105 Hoyos del Espino;4 personas;21
Total Nacional;05105 Hoyos del Espino;5 o más personas;12
Total Nacional;05106 Hoyos de Miguel Muñoz;Total (tamaño del hogar);14
Total Nacional;05106 Hoyos de Miguel Muñoz;1 persona;6
Total Nacional;05106 Hoyos de Miguel Muñoz;2 personas;5
Total Nacional;05106 Hoyos de Miguel Muñoz;3 personas;2
Total Nacional;05106 Hoyos de Miguel Muñoz;4 personas;1
Total Nacional;05106 Hoyos de Miguel Muñoz;5 o más personas;0
Total Nacional;05107 Hurtumpascual;Total (tamaño del hogar);23
Total Nacional;05107 Hurtumpascual;1 persona;8
Total Nacional;05107 Hurtumpascual;2 personas;9
Total Nacional;05107 Hurtumpascual;3 personas;3
Total Nacional;05107 Hurtumpascual;4 personas;2
Total Nacional;05107 Hurtumpascual;5 o más personas;1
Total Nacional;05108 Junciana;Total (tamaño del hogar);23
Total Nacional;05108 Junciana;1 persona;15
Total Nacional;05108 Junciana;2 personas;4
Total Nacional;05108 Junciana;3 personas;1
Total Nacional;05108 Junciana;4 personas;2
Total Nacional;05108 Junciana;5 o más personas;1
Total Nacional;05109 Langa;Total (tamaño del hogar);186
Total Nacional;05109 Langa;1 persona;49
Total Nacional;05109 Langa;2 personas;55
Total Nacional;05109 Langa;3 personas;30
Total Nacional;05109 Langa;4 personas;38
Total Nacional;05109 Langa;5 o más personas;14
Total Nacional;05110 Lanzahíta;Total (tamaño del hogar);381
Total Nacional;05110 Lanzahíta;1 persona;150
Total Nacional;05110 Lanzahíta;2 personas;100
Total Nacional;05110 Lanzahíta;3 personas;69
Total Nacional;05110 Lanzahíta;4 personas;50
Total Nacional;05110 Lanzahíta;5 o más personas;12
Total Nacional;05112 Losar del Barco, El;Total (tamaño del hogar);60
Total Nacional;05112 Losar del Barco, El;1 persona;34
Total Nacional;05112 Losar del Barco, El;2 personas;14
Total Nacional;05112 Losar del Barco, El;3 personas;6
Total Nacional;05112 Losar del Barco, El;4 personas;3
Total Nacional;05112 Losar del Barco, El;5 o más personas;3
Total Nacional;05113 Llanos de Tormes, Los;Total (tamaño del hogar);34
Total Nacional;05113 Llanos de Tormes, Los;1 persona;19
Total Nacional;05113 Llanos de Tormes, Los;2 personas;8
Total Nacional;05113 Llanos de Tormes, Los;3 personas;5
Total Nacional;05113 Llanos de Tormes, Los;4 personas;2
Total Nacional;05113 Llanos de Tormes, Los;5 o más personas;0
Total Nacional;05114 Madrigal de las Altas Torres;Total (tamaño del hogar);585
Total Nacional;05114 Madrigal de las Altas Torres;1 persona;179
Total Nacional;05114 Madrigal de las Altas Torres;2 personas;171
Total Nacional;05114 Madrigal de las Altas Torres;3 personas;123
Total Nacional;05114 Madrigal de las Altas Torres;4 personas;91
Total Nacional;05114 Madrigal de las Altas Torres;5 o más personas;21
Total Nacional;05115 Maello;Total (tamaño del hogar);328
Total Nacional;05115 Maello;1 persona;151
Total Nacional;05115 Maello;2 personas;106
Total Nacional;05115 Maello;3 personas;41
Total Nacional;05115 Maello;4 personas;18
Total Nacional;05115 Maello;5 o más personas;12
Total Nacional;05116 Malpartida de Corneja;Total (tamaño del hogar);48
Total Nacional;05116 Malpartida de Corneja;1 persona;20
Total Nacional;05116 Malpartida de Corneja;2 personas;18
Total Nacional;05116 Malpartida de Corneja;3 personas;6
Total Nacional;05116 Malpartida de Corneja;4 personas;2
Total Nacional;05116 Malpartida de Corneja;5 o más personas;2
Total Nacional;05117 Mamblas;Total (tamaño del hogar);85
Total Nacional;05117 Mamblas;1 persona;21
Total Nacional;05117 Mamblas;2 personas;26
Total Nacional;05117 Mamblas;3 personas;24
Total Nacional;05117 Mamblas;4 personas;13
Total Nacional;05117 Mamblas;5 o más personas;1
Total Nacional;05118 Mancera de Arriba;Total (tamaño del hogar);39
Total Nacional;05118 Mancera de Arriba;1 persona;20
Total Nacional;05118 Mancera de Arriba;2 personas;11
Total Nacional;05118 Mancera de Arriba;3 personas;5
Total Nacional;05118 Mancera de Arriba;4 personas;2
Total Nacional;05118 Mancera de Arriba;5 o más personas;1
Total Nacional;05119 Manjabálago y Ortigosa de Rioalmar;Total (tamaño del hogar);14
Total Nacional;05119 Manjabálago y Ortigosa de Rioalmar;1 persona;8
Total Nacional;05119 Manjabálago y Ortigosa de Rioalmar;2 personas;4
Total Nacional;05119 Manjabálago y Ortigosa de Rioalmar;3 personas;2
Total Nacional;05119 Manjabálago y Ortigosa de Rioalmar;4 personas;0
Total Nacional;05119 Manjabálago y Ortigosa de Rioalmar;5 o más personas;0
Total Nacional;05120 Marlín;Total (tamaño del hogar);16
Total Nacional;05120 Marlín;1 persona;10
Total Nacional;05120 Marlín;2 personas;2
Total Nacional;05120 Marlín;3 personas;2
Total Nacional;05120 Marlín;4 personas;0
Total Nacional;05120 Marlín;5 o más personas;2
Total Nacional;05121 Martiherrero;Total (tamaño del hogar);122
Total Nacional;05121 Martiherrero;1 persona;34
Total Nacional;05121 Martiherrero;2 personas;32
Total Nacional;05121 Martiherrero;3 personas;29
Total Nacional;05121 Martiherrero;4 personas;21
Total Nacional;05121 Martiherrero;5 o más personas;6
Total Nacional;05122 Martínez;Total (tamaño del hogar);61
Total Nacional;05122 Martínez;1 persona;27
Total Nacional;05122 Martínez;2 personas;22
Total Nacional;05122 Martínez;3 personas;8
Total Nacional;05122 Martínez;4 personas;4
Total Nacional;05122 Martínez;5 o más personas;0
Total Nacional;05123 Mediana de Voltoya;Total (tamaño del hogar);47
Total Nacional;05123 Mediana de Voltoya;1 persona;17
Total Nacional;05123 Mediana de Voltoya;2 personas;9
Total Nacional;05123 Mediana de Voltoya;3 personas;9
Total Nacional;05123 Mediana de Voltoya;4 personas;8
Total Nacional;05123 Mediana de Voltoya;5 o más personas;4
Total Nacional;05124 Medinilla;Total (tamaño del hogar);59
Total Nacional;05124 Medinilla;1 persona;37
Total Nacional;05124 Medinilla;2 personas;13
Total Nacional;05124 Medinilla;3 personas;3
Total Nacional;05124 Medinilla;4 personas;4
Total Nacional;05124 Medinilla;5 o más personas;2
Total Nacional;05125 Mengamuñoz;Total (tamaño del hogar);24
Total Nacional;05125 Mengamuñoz;1 persona;11
Total Nacional;05125 Mengamuñoz;2 personas;2
Total Nacional;05125 Mengamuñoz;3 personas;2
Total Nacional;05125 Mengamuñoz;4 personas;7
Total Nacional;05125 Mengamuñoz;5 o más personas;2
Total Nacional;05126 Mesegar de Corneja;Total (tamaño del hogar);32
Total Nacional;05126 Mesegar de Corneja;1 persona;16
Total Nacional;05126 Mesegar de Corneja;2 personas;9
Total Nacional;05126 Mesegar de Corneja;3 personas;4
Total Nacional;05126 Mesegar de Corneja;4 personas;1
Total Nacional;05126 Mesegar de Corneja;5 o más personas;2
Total Nacional;05127 Mijares;Total (tamaño del hogar);351
Total Nacional;05127 Mijares;1 persona;138
Total Nacional;05127 Mijares;2 personas;102
Total Nacional;05127 Mijares;3 personas;57
Total Nacional;05127 Mijares;4 personas;42
Total Nacional;05127 Mijares;5 o más personas;12
Total Nacional;05128 Mingorría;Total (tamaño del hogar);163
Total Nacional;05128 Mingorría;1 persona;54
Total Nacional;05128 Mingorría;2 personas;47
Total Nacional;05128 Mingorría;3 personas;32
Total Nacional;05128 Mingorría;4 personas;20
Total Nacional;05128 Mingorría;5 o más personas;10
Total Nacional;05129 Mirón, El;Total (tamaño del hogar);62
Total Nacional;05129 Mirón, El;1 persona;35
Total Nacional;05129 Mirón, El;2 personas;12
Total Nacional;05129 Mirón, El;3 personas;9
Total Nacional;05129 Mirón, El;4 personas;5
Total Nacional;05129 Mirón, El;5 o más personas;1
Total Nacional;05130 Mironcillo;Total (tamaño del hogar);51
Total Nacional;05130 Mironcillo;1 persona;21
Total Nacional;05130 Mironcillo;2 personas;17
Total Nacional;05130 Mironcillo;3 personas;4
Total Nacional;05130 Mironcillo;4 personas;7
Total Nacional;05130 Mironcillo;5 o más personas;2
Total Nacional;05131 Mirueña de los Infanzones;Total (tamaño del hogar);44
Total Nacional;05131 Mirueña de los Infanzones;1 persona;22
Total Nacional;05131 Mirueña de los Infanzones;2 personas;10
Total Nacional;05131 Mirueña de los Infanzones;3 personas;8
Total Nacional;05131 Mirueña de los Infanzones;4 personas;2
Total Nacional;05131 Mirueña de los Infanzones;5 o más personas;2
Total Nacional;05132 Mombeltrán;Total (tamaño del hogar);405
Total Nacional;05132 Mombeltrán;1 persona;161
Total Nacional;05132 Mombeltrán;2 personas;112
Total Nacional;05132 Mombeltrán;3 personas;69
Total Nacional;05132 Mombeltrán;4 personas;50
Total Nacional;05132 Mombeltrán;5 o más personas;13
Total Nacional;05133 Monsalupe;Total (tamaño del hogar);36
Total Nacional;05133 Monsalupe;1 persona;22
Total Nacional;05133 Monsalupe;2 personas;7
Total Nacional;05133 Monsalupe;3 personas;5
Total Nacional;05133 Monsalupe;4 personas;1
Total Nacional;05133 Monsalupe;5 o más personas;1
Total Nacional;05134 Moraleja de Matacabras;Total (tamaño del hogar);25
Total Nacional;05134 Moraleja de Matacabras;1 persona;10
Total Nacional;05134 Moraleja de Matacabras;2 personas;7
Total Nacional;05134 Moraleja de Matacabras;3 personas;4
Total Nacional;05134 Moraleja de Matacabras;4 personas;2
Total Nacional;05134 Moraleja de Matacabras;5 o más personas;2
Total Nacional;05135 Muñana;Total (tamaño del hogar);190
Total Nacional;05135 Muñana;1 persona;78
Total Nacional;05135 Muñana;2 personas;44
Total Nacional;05135 Muñana;3 personas;43
Total Nacional;05135 Muñana;4 personas;15
Total Nacional;05135 Muñana;5 o más personas;10
Total Nacional;05136 Muñico;Total (tamaño del hogar);44
Total Nacional;05136 Muñico;1 persona;25
Total Nacional;05136 Muñico;2 personas;9
Total Nacional;05136 Muñico;3 personas;2
Total Nacional;05136 Muñico;4 personas;8
Total Nacional;05136 Muñico;5 o más personas;0
Total Nacional;05138 Muñogalindo;Total (tamaño del hogar);142
Total Nacional;05138 Muñogalindo;1 persona;47
Total Nacional;05138 Muñogalindo;2 personas;41
Total Nacional;05138 Muñogalindo;3 personas;26
Total Nacional;05138 Muñogalindo;4 personas;23
Total Nacional;05138 Muñogalindo;5 o más personas;5
Total Nacional;05139 Muñogrande;Total (tamaño del hogar);33
Total Nacional;05139 Muñogrande;1 persona;11
Total Nacional;05139 Muñogrande;2 personas;7
Total Nacional;05139 Muñogrande;3 personas;10
Total Nacional;05139 Muñogrande;4 personas;3
Total Nacional;05139 Muñogrande;5 o más personas;2
Total Nacional;05140 Muñomer del Peco;Total (tamaño del hogar);47
Total Nacional;05140 Muñomer del Peco;1 persona;20
Total Nacional;05140 Muñomer del Peco;2 personas;9
Total Nacional;05140 Muñomer del Peco;3 personas;5
Total Nacional;05140 Muñomer del Peco;4 personas;10
Total Nacional;05140 Muñomer del Peco;5 o más personas;3
Total Nacional;05141 Muñopepe;Total (tamaño del hogar);43
Total Nacional;05141 Muñopepe;1 persona;14
Total Nacional;05141 Muñopepe;2 personas;14
Total Nacional;05141 Muñopepe;3 personas;5
Total Nacional;05141 Muñopepe;4 personas;6
Total Nacional;05141 Muñopepe;5 o más personas;4
Total Nacional;05142 Muñosancho;Total (tamaño del hogar);47
Total Nacional;05142 Muñosancho;1 persona;23
Total Nacional;05142 Muñosancho;2 personas;12
Total Nacional;05142 Muñosancho;3 personas;5
Total Nacional;05142 Muñosancho;4 personas;6
Total Nacional;05142 Muñosancho;5 o más personas;1
Total Nacional;05143 Muñotello;Total (tamaño del hogar);36
Total Nacional;05143 Muñotello;1 persona;19
Total Nacional;05143 Muñotello;2 personas;9
Total Nacional;05143 Muñotello;3 personas;5
Total Nacional;05143 Muñotello;4 personas;2
Total Nacional;05143 Muñotello;5 o más personas;1
Total Nacional;05144 Narrillos del Álamo;Total (tamaño del hogar);37
Total Nacional;05144 Narrillos del Álamo;1 persona;15
Total Nacional;05144 Narrillos del Álamo;2 personas;14
Total Nacional;05144 Narrillos del Álamo;3 personas;7
Total Nacional;05144 Narrillos del Álamo;4 personas;0
Total Nacional;05144 Narrillos del Álamo;5 o más personas;1
Total Nacional;05145 Narrillos del Rebollar;Total (tamaño del hogar);24
Total Nacional;05145 Narrillos del Rebollar;1 persona;15
Total Nacional;05145 Narrillos del Rebollar;2 personas;5
Total Nacional;05145 Narrillos del Rebollar;3 personas;3
Total Nacional;05145 Narrillos del Rebollar;4 personas;1
Total Nacional;05145 Narrillos del Rebollar;5 o más personas;0
Total Nacional;05147 Narros del Castillo;Total (tamaño del hogar);72
Total Nacional;05147 Narros del Castillo;1 persona;25
Total Nacional;05147 Narros del Castillo;2 personas;19
Total Nacional;05147 Narros del Castillo;3 personas;19
Total Nacional;05147 Narros del Castillo;4 personas;7
Total Nacional;05147 Narros del Castillo;5 o más personas;2
Total Nacional;05148 Narros del Puerto;Total (tamaño del hogar);15
Total Nacional;05148 Narros del Puerto;1 persona;8
Total Nacional;05148 Narros del Puerto;2 personas;3
Total Nacional;05148 Narros del Puerto;3 personas;4
Total Nacional;05148 Narros del Puerto;4 personas;0
Total Nacional;05148 Narros del Puerto;5 o más personas;0
Total Nacional;05149 Narros de Saldueña;Total (tamaño del hogar);60
Total Nacional;05149 Narros de Saldueña;1 persona;32
Total Nacional;05149 Narros de Saldueña;2 personas;19
Total Nacional;05149 Narros de Saldueña;3 personas;4
Total Nacional;05149 Narros de Saldueña;4 personas;3
Total Nacional;05149 Narros de Saldueña;5 o más personas;2
Total Nacional;05151 Navacepedilla de Corneja;Total (tamaño del hogar);43
Total Nacional;05151 Navacepedilla de Corneja;1 persona;20
Total Nacional;05151 Navacepedilla de Corneja;2 personas;12
Total Nacional;05151 Navacepedilla de Corneja;3 personas;4
Total Nacional;05151 Navacepedilla de Corneja;4 personas;4
Total Nacional;05151 Navacepedilla de Corneja;5 o más personas;3
Total Nacional;05152 Nava de Arévalo;Total (tamaño del hogar);288
Total Nacional;05152 Nava de Arévalo;1 persona;85
Total Nacional;05152 Nava de Arévalo;2 personas;68
Total Nacional;05152 Nava de Arévalo;3 personas;72
Total Nacional;05152 Nava de Arévalo;4 personas;44
Total Nacional;05152 Nava de Arévalo;5 o más personas;19
Total Nacional;05153 Nava del Barco;Total (tamaño del hogar);45
Total Nacional;05153 Nava del Barco;1 persona;23
Total Nacional;05153 Nava del Barco;2 personas;12
Total Nacional;05153 Nava del Barco;3 personas;9
Total Nacional;05153 Nava del Barco;4 personas;0
Total Nacional;05153 Nava del Barco;5 o más personas;1
Total Nacional;05154 Navadijos;Total (tamaño del hogar);16
Total Nacional;05154 Navadijos;1 persona;7
Total Nacional;05154 Navadijos;2 personas;4
Total Nacional;05154 Navadijos;3 personas;3
Total Nacional;05154 Navadijos;4 personas;1
Total Nacional;05154 Navadijos;5 o más personas;1
Total Nacional;05155 Navaescurial;Total (tamaño del hogar);23
Total Nacional;05155 Navaescurial;1 persona;9
Total Nacional;05155 Navaescurial;2 personas;6
Total Nacional;05155 Navaescurial;3 personas;5
Total Nacional;05155 Navaescurial;4 personas;3
Total Nacional;05155 Navaescurial;5 o más personas;0
Total Nacional;05156 Navahondilla;Total (tamaño del hogar);144
Total Nacional;05156 Navahondilla;1 persona;60
Total Nacional;05156 Navahondilla;2 personas;39
Total Nacional;05156 Navahondilla;3 personas;24
Total Nacional;05156 Navahondilla;4 personas;15
Total Nacional;05156 Navahondilla;5 o más personas;6
Total Nacional;05157 Navalacruz;Total (tamaño del hogar);120
Total Nacional;05157 Navalacruz;1 persona;65
Total Nacional;05157 Navalacruz;2 personas;30
Total Nacional;05157 Navalacruz;3 personas;10
Total Nacional;05157 Navalacruz;4 personas;9
Total Nacional;05157 Navalacruz;5 o más personas;6
Total Nacional;05158 Navalmoral;Total (tamaño del hogar);192
Total Nacional;05158 Navalmoral;1 persona;92
Total Nacional;05158 Navalmoral;2 personas;63
Total Nacional;05158 Navalmoral;3 personas;20
Total Nacional;05158 Navalmoral;4 personas;11
Total Nacional;05158 Navalmoral;5 o más personas;6
Total Nacional;05159 Navalonguilla;Total (tamaño del hogar);118
Total Nacional;05159 Navalonguilla;1 persona;64
Total Nacional;05159 Navalonguilla;2 personas;25
Total Nacional;05159 Navalonguilla;3 personas;21
Total Nacional;05159 Navalonguilla;4 personas;6
Total Nacional;05159 Navalonguilla;5 o más personas;2
Total Nacional;05160 Navalosa;Total (tamaño del hogar);173
Total Nacional;05160 Navalosa;1 persona;90
Total Nacional;05160 Navalosa;2 personas;43
Total Nacional;05160 Navalosa;3 personas;21
Total Nacional;05160 Navalosa;4 personas;14
Total Nacional;05160 Navalosa;5 o más personas;5
Total Nacional;05161 Navalperal de Pinares;Total (tamaño del hogar);348
Total Nacional;05161 Navalperal de Pinares;1 persona;151
Total Nacional;05161 Navalperal de Pinares;2 personas;89
Total Nacional;05161 Navalperal de Pinares;3 personas;50
Total Nacional;05161 Navalperal de Pinares;4 personas;32
Total Nacional;05161 Navalperal de Pinares;5 o más personas;26
Total Nacional;05162 Navalperal de Tormes;Total (tamaño del hogar);57
Total Nacional;05162 Navalperal de Tormes;1 persona;39
Total Nacional;05162 Navalperal de Tormes;2 personas;13
Total Nacional;05162 Navalperal de Tormes;3 personas;2
Total Nacional;05162 Navalperal de Tormes;4 personas;1
Total Nacional;05162 Navalperal de Tormes;5 o más personas;2
Total Nacional;05163 Navaluenga;Total (tamaño del hogar);1.014
Total Nacional;05163 Navaluenga;1 persona;446
Total Nacional;05163 Navaluenga;2 personas;265
Total Nacional;05163 Navaluenga;3 personas;151
Total Nacional;05163 Navaluenga;4 personas;104
Total Nacional;05163 Navaluenga;5 o más personas;48
Total Nacional;05164 Navaquesera;Total (tamaño del hogar);12
Total Nacional;05164 Navaquesera;1 persona;5
Total Nacional;05164 Navaquesera;2 personas;5
Total Nacional;05164 Navaquesera;3 personas;1
Total Nacional;05164 Navaquesera;4 personas;1
Total Nacional;05164 Navaquesera;5 o más personas;0
Total Nacional;05165 Navarredonda de Gredos;Total (tamaño del hogar);211
Total Nacional;05165 Navarredonda de Gredos;1 persona;95
Total Nacional;05165 Navarredonda de Gredos;2 personas;54
Total Nacional;05165 Navarredonda de Gredos;3 personas;38
Total Nacional;05165 Navarredonda de Gredos;4 personas;16
Total Nacional;05165 Navarredonda de Gredos;5 o más personas;8
Total Nacional;05166 Navarredondilla;Total (tamaño del hogar);90
Total Nacional;05166 Navarredondilla;1 persona;46
Total Nacional;05166 Navarredondilla;2 personas;27
Total Nacional;05166 Navarredondilla;3 personas;6
Total Nacional;05166 Navarredondilla;4 personas;8
Total Nacional;05166 Navarredondilla;5 o más personas;3
Total Nacional;05167 Navarrevisca;Total (tamaño del hogar);157
Total Nacional;05167 Navarrevisca;1 persona;91
Total Nacional;05167 Navarrevisca;2 personas;35
Total Nacional;05167 Navarrevisca;3 personas;17
Total Nacional;05167 Navarrevisca;4 personas;9
Total Nacional;05167 Navarrevisca;5 o más personas;5
Total Nacional;05168 Navas del Marqués, Las;Total (tamaño del hogar);2.250
Total Nacional;05168 Navas del Marqués, Las;1 persona;809
Total Nacional;05168 Navas del Marqués, Las;2 personas;597
Total Nacional;05168 Navas del Marqués, Las;3 personas;363
Total Nacional;05168 Navas del Marqués, Las;4 personas;307
Total Nacional;05168 Navas del Marqués, Las;5 o más personas;174
Total Nacional;05169 Navatalgordo;Total (tamaño del hogar);127
Total Nacional;05169 Navatalgordo;1 persona;65
Total Nacional;05169 Navatalgordo;2 personas;28
Total Nacional;05169 Navatalgordo;3 personas;19
Total Nacional;05169 Navatalgordo;4 personas;11
Total Nacional;05169 Navatalgordo;5 o más personas;4
Total Nacional;05170 Navatejares;Total (tamaño del hogar);32
Total Nacional;05170 Navatejares;1 persona;19
Total Nacional;05170 Navatejares;2 personas;6
Total Nacional;05170 Navatejares;3 personas;5
Total Nacional;05170 Navatejares;4 personas;1
Total Nacional;05170 Navatejares;5 o más personas;1
Total Nacional;05171 Neila de San Miguel;Total (tamaño del hogar);34
Total Nacional;05171 Neila de San Miguel;1 persona;21
Total Nacional;05171 Neila de San Miguel;2 personas;3
Total Nacional;05171 Neila de San Miguel;3 personas;5
Total Nacional;05171 Neila de San Miguel;4 personas;3
Total Nacional;05171 Neila de San Miguel;5 o más personas;2
Total Nacional;05172 Niharra;Total (tamaño del hogar);82
Total Nacional;05172 Niharra;1 persona;26
Total Nacional;05172 Niharra;2 personas;28
Total Nacional;05172 Niharra;3 personas;15
Total Nacional;05172 Niharra;4 personas;8
Total Nacional;05172 Niharra;5 o más personas;5
Total Nacional;05173 Ojos-Albos;Total (tamaño del hogar);45
Total Nacional;05173 Ojos-Albos;1 persona;25
Total Nacional;05173 Ojos-Albos;2 personas;11
Total Nacional;05173 Ojos-Albos;3 personas;6
Total Nacional;05173 Ojos-Albos;4 personas;0
Total Nacional;05173 Ojos-Albos;5 o más personas;3
Total Nacional;05174 Orbita;Total (tamaño del hogar);29
Total Nacional;05174 Orbita;1 persona;10
Total Nacional;05174 Orbita;2 personas;7
Total Nacional;05174 Orbita;3 personas;5
Total Nacional;05174 Orbita;4 personas;5
Total Nacional;05174 Orbita;5 o más personas;2
Total Nacional;05175 Oso, El;Total (tamaño del hogar);75
Total Nacional;05175 Oso, El;1 persona;30
Total Nacional;05175 Oso, El;2 personas;23
Total Nacional;05175 Oso, El;3 personas;16
Total Nacional;05175 Oso, El;4 personas;4
Total Nacional;05175 Oso, El;5 o más personas;2
Total Nacional;05176 Padiernos;Total (tamaño del hogar);130
Total Nacional;05176 Padiernos;1 persona;58
Total Nacional;05176 Padiernos;2 personas;32
Total Nacional;05176 Padiernos;3 personas;19
Total Nacional;05176 Padiernos;4 personas;18
Total Nacional;05176 Padiernos;5 o más personas;3
Total Nacional;05177 Pajares de Adaja;Total (tamaño del hogar);72
Total Nacional;05177 Pajares de Adaja;1 persona;30
Total Nacional;05177 Pajares de Adaja;2 personas;22
Total Nacional;05177 Pajares de Adaja;3 personas;13
Total Nacional;05177 Pajares de Adaja;4 personas;4
Total Nacional;05177 Pajares de Adaja;5 o más personas;3
Total Nacional;05178 Palacios de Goda;Total (tamaño del hogar);167
Total Nacional;05178 Palacios de Goda;1 persona;55
Total Nacional;05178 Palacios de Goda;2 personas;50
Total Nacional;05178 Palacios de Goda;3 personas;31
Total Nacional;05178 Palacios de Goda;4 personas;22
Total Nacional;05178 Palacios de Goda;5 o más personas;9
Total Nacional;05179 Papatrigo;Total (tamaño del hogar);107
Total Nacional;05179 Papatrigo;1 persona;43
Total Nacional;05179 Papatrigo;2 personas;27
Total Nacional;05179 Papatrigo;3 personas;23
Total Nacional;05179 Papatrigo;4 personas;12
Total Nacional;05179 Papatrigo;5 o más personas;2
Total Nacional;05180 Parral, El;Total (tamaño del hogar);35
Total Nacional;05180 Parral, El;1 persona;12
Total Nacional;05180 Parral, El;2 personas;14
Total Nacional;05180 Parral, El;3 personas;6
Total Nacional;05180 Parral, El;4 personas;3
Total Nacional;05180 Parral, El;5 o más personas;0
Total Nacional;05181 Pascualcobo;Total (tamaño del hogar);28
Total Nacional;05181 Pascualcobo;1 persona;20
Total Nacional;05181 Pascualcobo;2 personas;6
Total Nacional;05181 Pascualcobo;3 personas;1
Total Nacional;05181 Pascualcobo;4 personas;1
Total Nacional;05181 Pascualcobo;5 o más personas;0
Total Nacional;05182 Pedro Bernardo;Total (tamaño del hogar);398
Total Nacional;05182 Pedro Bernardo;1 persona;190
Total Nacional;05182 Pedro Bernardo;2 personas;107
Total Nacional;05182 Pedro Bernardo;3 personas;57
Total Nacional;05182 Pedro Bernardo;4 personas;37
Total Nacional;05182 Pedro Bernardo;5 o más personas;7
Total Nacional;05183 Pedro-Rodríguez;Total (tamaño del hogar);68
Total Nacional;05183 Pedro-Rodríguez;1 persona;28
Total Nacional;05183 Pedro-Rodríguez;2 personas;21
Total Nacional;05183 Pedro-Rodríguez;3 personas;10
Total Nacional;05183 Pedro-Rodríguez;4 personas;7
Total Nacional;05183 Pedro-Rodríguez;5 o más personas;2
Total Nacional;05184 Peguerinos;Total (tamaño del hogar);167
Total Nacional;05184 Peguerinos;1 persona;101
Total Nacional;05184 Peguerinos;2 personas;40
Total Nacional;05184 Peguerinos;3 personas;13
Total Nacional;05184 Peguerinos;4 personas;10
Total Nacional;05184 Peguerinos;5 o más personas;3
Total Nacional;05185 Peñalba de Ávila;Total (tamaño del hogar);55
Total Nacional;05185 Peñalba de Ávila;1 persona;24
Total Nacional;05185 Peñalba de Ávila;2 personas;13
Total Nacional;05185 Peñalba de Ávila;3 personas;9
Total Nacional;05185 Peñalba de Ávila;4 personas;7
Total Nacional;05185 Peñalba de Ávila;5 o más personas;2
Total Nacional;05186 Piedrahíta;Total (tamaño del hogar);746
Total Nacional;05186 Piedrahíta;1 persona;250
Total Nacional;05186 Piedrahíta;2 personas;208
Total Nacional;05186 Piedrahíta;3 personas;145
Total Nacional;05186 Piedrahíta;4 personas;111
Total Nacional;05186 Piedrahíta;5 o más personas;32
Total Nacional;05187 Piedralaves;Total (tamaño del hogar);977
Total Nacional;05187 Piedralaves;1 persona;367
Total Nacional;05187 Piedralaves;2 personas;270
Total Nacional;05187 Piedralaves;3 personas;181
Total Nacional;05187 Piedralaves;4 personas;127
Total Nacional;05187 Piedralaves;5 o más personas;32
Total Nacional;05188 Poveda;Total (tamaño del hogar);18
Total Nacional;05188 Poveda;1 persona;7
Total Nacional;05188 Poveda;2 personas;6
Total Nacional;05188 Poveda;3 personas;3
Total Nacional;05188 Poveda;4 personas;1
Total Nacional;05188 Poveda;5 o más personas;1
Total Nacional;05189 Poyales del Hoyo;Total (tamaño del hogar);238
Total Nacional;05189 Poyales del Hoyo;1 persona;124
Total Nacional;05189 Poyales del Hoyo;2 personas;64
Total Nacional;05189 Poyales del Hoyo;3 personas;27
Total Nacional;05189 Poyales del Hoyo;4 personas;18
Total Nacional;05189 Poyales del Hoyo;5 o más personas;5
Total Nacional;05190 Pozanco;Total (tamaño del hogar);21
Total Nacional;05190 Pozanco;1 persona;9
Total Nacional;05190 Pozanco;2 personas;4
Total Nacional;05190 Pozanco;3 personas;3
Total Nacional;05190 Pozanco;4 personas;3
Total Nacional;05190 Pozanco;5 o más personas;2
Total Nacional;05191 Pradosegar;Total (tamaño del hogar);56
Total Nacional;05191 Pradosegar;1 persona;20
Total Nacional;05191 Pradosegar;2 personas;16
Total Nacional;05191 Pradosegar;3 personas;12
Total Nacional;05191 Pradosegar;4 personas;4
Total Nacional;05191 Pradosegar;5 o más personas;4
Total Nacional;05192 Puerto Castilla;Total (tamaño del hogar);60
Total Nacional;05192 Puerto Castilla;1 persona;34
Total Nacional;05192 Puerto Castilla;2 personas;12
Total Nacional;05192 Puerto Castilla;3 personas;6
Total Nacional;05192 Puerto Castilla;4 personas;4
Total Nacional;05192 Puerto Castilla;5 o más personas;4
Total Nacional;05193 Rasueros;Total (tamaño del hogar);90
Total Nacional;05193 Rasueros;1 persona;36
Total Nacional;05193 Rasueros;2 personas;33
Total Nacional;05193 Rasueros;3 personas;18
Total Nacional;05193 Rasueros;4 personas;3
Total Nacional;05193 Rasueros;5 o más personas;0
Total Nacional;05194 Riocabado;Total (tamaño del hogar);65
