Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;01023 Elvillar/Bilar;5 o más personas;4
Total Nacional;01027 Iruraiz-Gauna;Total (tamaño del hogar);211
Total Nacional;01027 Iruraiz-Gauna;1 persona;49
Total Nacional;01027 Iruraiz-Gauna;2 personas;68
Total Nacional;01027 Iruraiz-Gauna;3 personas;45
Total Nacional;01027 Iruraiz-Gauna;4 personas;42
Total Nacional;01027 Iruraiz-Gauna;5 o más personas;7
Total Nacional;01028 Labastida/Bastida;Total (tamaño del hogar);632
Total Nacional;01028 Labastida/Bastida;1 persona;219
Total Nacional;01028 Labastida/Bastida;2 personas;165
Total Nacional;01028 Labastida/Bastida;3 personas;107
Total Nacional;01028 Labastida/Bastida;4 personas;92
Total Nacional;01028 Labastida/Bastida;5 o más personas;49
Total Nacional;01030 Lagrán;Total (tamaño del hogar);93
Total Nacional;01030 Lagrán;1 persona;51
Total Nacional;01030 Lagrán;2 personas;21
Total Nacional;01030 Lagrán;3 personas;12
Total Nacional;01030 Lagrán;4 personas;6
Total Nacional;01030 Lagrán;5 o más personas;3
Total Nacional;01031 Laguardia;Total (tamaño del hogar);640
Total Nacional;01031 Laguardia;1 persona;236
Total Nacional;01031 Laguardia;2 personas;156
Total Nacional;01031 Laguardia;3 personas;128
Total Nacional;01031 Laguardia;4 personas;97
Total Nacional;01031 Laguardia;5 o más personas;23
Total Nacional;01032 Lanciego/Lantziego;Total (tamaño del hogar);294
Total Nacional;01032 Lanciego/Lantziego;1 persona;111
Total Nacional;01032 Lanciego/Lantziego;2 personas;72
Total Nacional;01032 Lanciego/Lantziego;3 personas;48
Total Nacional;01032 Lanciego/Lantziego;4 personas;40
Total Nacional;01032 Lanciego/Lantziego;5 o más personas;23
Total Nacional;01033 Lapuebla de Labarca;Total (tamaño del hogar);369
Total Nacional;01033 Lapuebla de Labarca;1 persona;130
Total Nacional;01033 Lapuebla de Labarca;2 personas;92
Total Nacional;01033 Lapuebla de Labarca;3 personas;70
Total Nacional;01033 Lapuebla de Labarca;4 personas;58
Total Nacional;01033 Lapuebla de Labarca;5 o más personas;19
Total Nacional;01034 Leza;Total (tamaño del hogar);96
Total Nacional;01034 Leza;1 persona;33
Total Nacional;01034 Leza;2 personas;30
Total Nacional;01034 Leza;3 personas;13
